file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P21_sent026,0.0,4.0039375,P21,-51.482740852701006,-58.186890316009524,1.3040602138662083,20.683016864670776
P28_sent024,0.0,5.3115625,P28,-50.641522182183365,-62.62415785538523,1.304056904810626,24.981387657773062
P27_sent151,0.0,5.903375,P27,-50.95230787627551,-63.83188247680664,1.304056904810626,21.145671776782798
P27_sent191,0.0,4.1504375,P27,-55.39621954449152,-67.996780674632,1.3008437508812416,21.134023397211063
P26_sent161,0.0,4.0029375,P26,-57.61814934045226,-62.03915730644675,1.3008437508812416,16.679423754982036
P25_sent087,0.0,4.0039375,P25,-47.3989576790201,-62.18146242414202,1.3008437508812416,24.467301304752226
P25_sent151,0.0,4.0029375,P25,-54.064070351758794,-61.97127313613892,1.3008437508812416,22.0203981830628
P25_sent115,0.0,4.0039375,P25,-56.00329773869347,-63.95797481871488,1.3008437508812416,23.386727311609608
P25_sent003,0.0,4.0088125,P25,-46.956199091478695,-65.61532974243164,1.3008437508812416,22.54947889109795
P26_sent141,0.0,4.0029375,P26,-50.80317112908291,-59.17172467267072,1.3008429002606254,18.627570922309438
P21_sent192,0.0,3.9980625,P21,-52.01597342179648,-64.88806392124721,1.3008420496400093,14.769479640564281
P29_sent103,0.0,3.6455625,P29,-52.7998558023416,-67.52512651331284,1.2971218406391136,17.398923958211398
P27_sent177,0.0,3.1855625,P27,-45.565571396884856,-62.87727319626581,1.2971218406391136,24.51620548141996
P24_sent136,0.0,5.006875,P24,-52.24388620991984,-60.38926362991333,1.2900851535214584,19.614080538093656
P28_sent080,0.0,3.798875,P28,-50.53525958994709,-61.293187856674194,1.288145600718517,23.59215710596039
P21_sent106,0.0,4.0039375,P21,-50.895758087311556,-57.02968961927626,1.288145600718517,23.079556382758685
P28_sent130,0.0,3.3271875,P28,-49.111236664463746,-63.575185255570844,1.2881433442696282,22.862166989388143
P28_sent030,0.0,3.797875,P28,-50.84791459986773,-63.88765177233466,1.2805919492765159,22.51488165208314
P28_sent142,0.0,3.287125,P28,-52.17221545298165,-63.78182588304792,1.2679454476887086,24.246142167172913
P28_sent168,0.0,5.0645,P28,-47.02056594122024,-58.30712175369263,1.2679454476887086,23.86529455308921
P27_sent199,0.0,3.2783125,P27,-49.283176164685585,-67.79343917153098,1.2679437464474765,25.564406123397987
P26_sent063,0.0,4.002,P26,-60.53914101758794,-63.510911305745445,1.2402259279556156,15.550363918316078
P22_sent026,0.0,5.0029375,P22,-50.96155716616466,-55.002356876026504,1.2402259279556156,20.391554682406884
P29_sent059,0.0,3.11625,P29,-47.10148374495968,-65.81957738539752,1.2392683773045574,24.100767052501027
P28_sent052,0.0,4.0195625,P28,-48.3974755859375,-59.06078830842049,1.2321233174590451,25.685405181729884
P27_sent105,0.0,3.797875,P27,-44.50073371362434,-63.01390419006348,1.2321233174590451,26.157415091442953
P25_sent099,0.0,4.004875,P25,-50.564963489321606,-63.37080094620988,1.2321216707014284,26.104432721334977
P30_sent144,0.0,3.7421875,P30,-37.188823084677416,-50.34629640125093,1.2290644894069835,11.996083357401822
P27_sent053,0.0,4.4511875,P27,-48.60675172827314,-62.05500507354736,1.228806273711784,25.29138625282392
P25_sent029,0.0,4.0039375,P25,-42.16571136934673,-62.08845647176107,1.228806273711784,23.28777767880046
