file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P27_sent069,0.0,3.4296875,P27,-48.10985039406158,-62.78925887398098,1.6447637275785982,24.828684458604812
P26_sent105,0.0,4.001,P26,-53.27012013190955,-60.11043900709886,1.6331391604796868,17.164381674714235
P30_sent038,0.0,6.3838125,P30,-41.047836207743714,-49.540301975451015,1.6293554392248102,10.014771169237212
P30_sent020,0.0,12.88575,P30,-49.77317647630148,-51.61725367670474,1.617538311335235,3.239331854027961
P28_sent020,0.0,4.40725,P28,-49.94080563069476,-61.27556133270264,1.614988969699867,23.032800024801404
P28_sent046,0.0,4.4150625,P28,-50.24624467329546,-60.88721466064453,1.6149873428545374,25.1596959610956
P28_sent076,0.0,4.6230625,P28,-49.672312330163045,-58.805612968676016,1.6149873428545374,24.875289639760346
P26_sent157,0.0,4.0019375,P26,-56.46467199277638,-59.83274629380968,1.6149873428545374,10.564747895588006
P25_sent139,0.0,4.0098125,P25,-57.075883067042604,-64.44500265450313,1.6149857160092076,27.541490405905023
P21_sent096,0.0,3.9980625,P21,-47.42605606155779,-57.3398681148406,1.6093852096628756,20.618565507017323
P30_sent128,0.0,4.8633125,P30,-42.89199702995868,-53.602135764227974,1.6093829478026294,12.326881724884135
P26_sent191,0.0,4.0039375,P26,-59.775552567525125,-61.28543744768415,1.6093829478026294,10.641556988501165
P27_sent179,0.0,4.349625,P27,-45.80281105658199,-62.58472664125504,1.609380685942383,25.171398816453387
P27_sent177,0.0,3.1855625,P27,-47.59163668178233,-67.08564154307048,1.6066103238823046,12.001783185111496
P29_sent167,0.0,5.1758125,P29,-47.801330093265506,-65.31225294225356,1.6000149784126954,25.96040770221007
P28_sent180,0.0,3.9834375,P28,-49.97739109848485,-63.04521653458879,1.6000114965815475,23.26458039094985
P25_sent199,0.0,4.001,P25,-49.76669480213568,-61.34658824072944,1.6000114965815475,22.939755623353673
P25_sent149,0.0,4.005875,P25,-45.621661575814535,-61.77259063720703,1.6000080147503994,23.941637572494326
P23_sent039,0.0,10.0029375,P23,-43.46523907189379,-64.21431541442871,1.5993158544737014,10.467054326556498
P22_sent122,0.0,5.0039375,P22,-46.56237449799197,-53.065388997395836,1.5993158544737014,8.936619131481908
P21_sent020,0.0,4.0029375,P21,-53.46059398555276,-57.66087448596954,1.5878956335035626,6.5453770698107565
P29_sent169,0.0,2.871125,P29,-45.483960389254385,-65.29299945831299,1.5861704137371213,25.446948203116982
